"Rsq","F","P","lambda.input","lambda.est.x","lambda.est.xy","slope","beta"
0.0133367774231296,0.405511539843287,0.529086138441667,0,1e-06,0.0253451306582569,0.11683527970161,0
0.0210618789024226,0.645450773093039,0.428063794064116,0,1e-06,0.0485075525806176,0.131181465890284,0.25
0.272340850265936,11.2280942402278,0.00218855853634414,0,1e-06,1e-06,0.531369553635612,0.5
0.347606170593546,15.9844937946362,0.000383885544935181,0,1e-06,1e-06,0.785603275160712,0.75
0.528034331748378,33.5639454690292,2.48691375315246e-06,0,1e-06,1e-06,1.04556941735154,1
0.00516604022818019,0.155786003607027,0.695858451335169,0,1e-06,1e-06,0.0674755735195448,0
0.0437860764762696,1.37373265748675,0.250395642951028,0,1e-06,1e-06,0.202655049738508,0.25
0.2205952280499,8.49091137194204,0.00668478741379452,0,1e-06,1e-06,0.475401480255004,0.5
0.354144686226346,16.4500320121447,0.000327426445433154,0,1e-06,0.106579916201179,0.544004180251211,0.75
0.537591896048436,34.8777556959564,1.81509003249758e-06,0,1e-06,1e-06,1.11044842585569,1
0.201509618384493,7.57089714631747,0.00996291997531751,0,1e-06,1e-06,0.471551566859654,0
0.0356757175000484,1.10986682013942,0.300522444128618,0,1e-06,0.0389705382875465,0.231053586530887,0.25
0.177543820020077,6.47610745746033,0.0163160498192991,0,1e-06,1e-06,0.502278896587756,0.5
0.543246849610534,35.6809919634259,1.50211306748638e-06,0,1e-06,0.218202753568493,1.05449453201871,0.75
0.399654031439314,19.97118590123,0.000103853894540595,0,1e-06,0.707309180857267,0.650283192053164,1
0.00741557229854958,0.224129215357186,0.639338495092391,0,1e-06,1e-06,-0.0849757009462811,0
0.0304957201406903,0.943648855633182,0.339108810807482,0,1e-06,1e-06,0.176949420199463,0.25
0.0977681856294844,3.25087801401784,0.0814389549909236,0,1e-06,1e-06,0.341181039804962,0.5
0.192910299070611,7.17058954593777,0.0119029188232345,0,1e-06,1e-06,0.538756393115104,0.75
0.481464805123527,27.8552821417391,1.06301430617961e-05,0,1e-06,1e-06,1.04623041624607,1
0.00313014293860131,0.0941991449464155,0.761025514935614,0,1e-06,0.149603452488711,0.0443299813157567,0
0.0272433341154369,0.840189589160929,0.366652727256759,0,1e-06,1e-06,0.134772060576729,0.25
0.148387806444309,5.22730208305565,0.0294662813324102,0,1e-06,1e-06,0.362480512493175,0.5
0.387251594169348,18.9597356998938,0.000143079490416476,0,1e-06,1e-06,0.813577245758864,0.75
0.484332704890128,28.1770461002534,9.75585116469446e-06,0,1e-06,1e-06,0.805047860071254,1
0.0145013419316584,0.441441755793423,0.511502390465142,0,1e-06,1e-06,-0.114343326958088,0
0.000489371704379781,0.0146883391889768,0.904344353376477,0,1e-06,1e-06,0.0213486614504565,0.25
0.14867580113067,5.23921913631016,0.0292957965512204,0,1e-06,1e-06,0.458364200891916,0.5
0.309868636042598,13.4699849431155,0.000937021320086329,0,1e-06,1e-06,0.744412010503291,0.75
0.500391652668152,30.0470351630724,5.98233406168269e-06,0,1e-06,1e-06,0.936446471701224,1
0.0811119938008766,2.64815711774454,0.114129226819688,0,1e-06,1e-06,0.240730503127091,0
0.046385268230467,1.45924554283241,0.236487078670822,0,1e-06,1e-06,0.196848962800724,0.25
0.211853350437114,8.06398214930975,0.00803137905573692,0,1e-06,1e-06,0.495207142915198,0.5
0.282249651138725,11.7972628610987,0.00175543171007808,0,1e-06,1e-06,0.634680275290155,0.75
0.566899981967621,39.2680645369014,6.63720507887433e-07,0,1e-06,1e-06,1.11278196921903,1
0.00621617067053675,0.187651594453826,0.667977188627852,0,1e-06,0.582459041744504,-0.0783303670867293,0
0.0328613978654629,1.01933883497988,0.32075017499043,0,1e-06,1e-06,0.151227070176785,0.25
0.119105442909391,4.05628943727733,0.0530507937667428,0,1e-06,1e-06,0.46659841974554,0.5
0.165763502327343,5.96102554095111,0.0207381341037407,0,1e-06,1e-06,0.526766770369991,0.75
0.644696244641613,54.4347957137117,3.21277122683483e-08,0,1e-06,1e-06,1.16345192084523,1
0.0188562115085099,0.576558045712179,0.45359005476952,0,1e-06,0.0656854750940717,-0.152481347482669,0
0.0818629740216881,2.6748613237047,0.112394897165842,0,1e-06,1e-06,0.238400501852794,0.25
0.249328397922544,9.96421326845999,0.00362074715390026,0,1e-06,1e-06,0.538868289156991,0.5
0.443919321936603,23.9490062925362,3.14418045674891e-05,0,1e-06,1e-06,0.749125514679716,0.75
0.445494292178738,24.1022384023324,3.00852732952883e-05,0,1e-06,1e-06,0.92563919426537,1
0.0588357192937814,1.87541284236689,0.181021434190483,0,1e-06,1e-06,0.195330571035275,0
0.0694596810128677,2.23933384493665,0.144986393284036,0,1e-06,1e-06,0.285201562346124,0.25
0.394173581876632,19.5191346936127,0.000119737094955941,0,1e-06,1e-06,0.706670520846093,0.5
0.399535237983076,19.9612998092209,0.000104176045169657,0,1e-06,0.918151635455408,0.703427358071274,0.75
0.34613327769669,15.8809096360219,0.000397815735407425,0,1e-06,1e-06,0.963921029843192,1
0.00834142612683372,0.252347723700534,0.61909435530212,0,1e-06,0.0675217608748454,-0.0893536025867287,0
0.0670167565190035,2.15491833279753,0.152521349921282,0,1e-06,1e-06,0.271500301295528,0.25
0.203171295339099,7.6492460983403,0.00962499294408947,0,1e-06,1e-06,0.451236223993481,0.5
0.367761809201682,17.4504710987475,0.000234018127994506,0,1e-06,1e-06,0.649820699699601,0.75
0.431827833443287,22.8008969214536,4.39448709048662e-05,0,1e-06,1e-06,0.854196180557875,1
0.0855213877559496,2.80557860875787,0.104331746687968,0,1e-06,0.819667084868822,0.196025799547482,0
0.0664705210586538,2.1361035476041,0.154263332735692,0,1e-06,1e-06,0.273140235033232,0.25
0.0928982497471299,3.07236480542231,0.0898489337921498,0,1e-06,0.168367453233436,0.320176158579414,0.5
0.466464901905337,26.2287281701517,1.65347241110059e-05,0,1e-06,1e-06,0.817505904908793,0.75
0.678057461680589,63.1843308330877,7.15431980324865e-09,0,1e-06,0.0864533818117394,0.984542331248416,1
0.00146196569875999,0.0439231851528734,0.835413338053647,0,1e-06,1e-06,-0.0370921879142641,0
0.145525041737885,5.10927934156886,0.0312149174541152,0,1e-06,1e-06,0.434330757063815,0.25
0.324539699288495,14.4141572323334,0.000665680042363448,0,1e-06,1e-06,0.507381613717697,0.5
0.177109960703319,6.45687584897833,0.0164612601190663,0,1e-06,1e-06,0.550013564493508,0.75
0.648488440361265,55.345699671534,2.72783280408362e-08,0,1e-06,0.238978003832583,1.07237137851642,1
0.00900265431314586,0.272533151142988,0.60547115212712,0,1e-06,1e-06,0.112058940884391,0
0.0569243859212303,1.81081087469861,0.188493769354978,0,1e-06,1e-06,0.232553848248558,0.25
0.124991682072987,4.28538836187658,0.0471450819894996,0,1e-06,1e-06,0.358841673256435,0.5
0.40470650907641,20.395309972994,9.09893648564086e-05,0,1e-06,1e-06,0.86130797083698,0.75
