"Rsq","F","P","lambda.input","lambda.est.x","lambda.est.xy","slope","beta"
0.579281317160597,173.487532024093,0,0,0.01,0.01,0.993282500185233,1
0.00235044901667617,0.296854317038777,0.586824290911113,0,0.01,0.01,-0.0529879900207395,0
0.0688284793044729,9.31341670102395,0.00277482948093444,0,0.01,0.01,0.332347533882621,0.25
0.107915949821992,15.2422965917367,0.000153228025672858,0,0.01,0.01,0.360754856894148,0.5
0.330222649282115,62.1222168306377,1.31361588273649e-12,0,0.01,0.01,0.662306259240921,0.75
0.565727690308846,164.140534379474,0,0,0.01,0.01,1.07496347437911,1
0.0041770734029357,0.52851891105622,0.468578761983832,0,0.01,0.01,-0.0632377827981777,0
0.0397070334510676,5.20995819933414,0.0241340158648862,0,0.01,0.01,0.227966673220907,0.25
0.186970855340974,28.9759941912573,3.45146999869428e-07,0,0.01,0.01,0.458576758277219,0.5
0.28971463725341,51.3934908538348,5.65223423620864e-11,0,0.01,0.01,0.66314712021098,0.75
0.52978653011519,141.963399753024,0,0,0.01,0.01,0.953915829608029,1
0.0455998445118917,6.02009584288039,0.0155107744381202,0,0.01,0.01,-0.23924130355728,0
0.0556164937295636,7.42037335827662,0.00736520294615106,0,0.01,0.01,0.267313943436226,0.25
0.127063445817319,18.340386934503,3.6304970521206e-05,0,0.01,0.01,0.412142299316691,0.5
0.433039646702115,96.2377618947875,0,0,0.01,0.01,0.772865576839159,0.75
0.479851197726024,116.238373806026,0,0,0.01,0.01,1.05782940507024,1
0.0127993026640569,1.63362134976528,0.203552451215438,0,0.01,0.01,0.116208247740893,0
0.111327123751738,15.7844556389953,0.000118716160020682,0,0.01,0.01,0.337189402104564,0.25
0.10780193654779,15.2242473520557,0.000154539141029808,0,0.01,0.01,0.379043861482759,0.5
0.333494156992089,63.0456045086832,9.60564960905685e-13,0,0.01,0.01,0.713755298059743,0.75
0.511858848879903,132.122061028615,0,0,0.01,0.01,0.966510231468715,1
0.00151090234957955,0.190661767359302,0.663113745637934,0,0.01,0.01,-0.0324639299672749,0
0.0686834242255919,9.29234126991514,0.00280468682401169,0,0.01,0.01,0.233181440234668,0.25
0.232616232832071,38.1942472473842,8.18102741106941e-09,0,0.01,0.01,0.486353522824444,0.5
0.399809167507183,83.9332298640331,1.33226762955019e-15,0,0.01,0.01,0.76029728686855,0.75
0.500848018193111,126.428127288788,0,0,0.01,0.01,0.955320665392284,1
0.0199620853322045,2.56645453631287,0.111656231232173,0,0.01,0.01,-0.124569384719874,0
0.0406353443282065,5.33692100817359,0.0225044175442939,0,0.01,0.01,0.193273886800837,0.25
0.338635783610488,64.5152968327393,5.85309578582383e-13,0,0.01,0.01,0.62175456430207,0.5
0.375727033643318,75.8347850866399,1.46549439250521e-14,0,0.01,0.01,0.648091673401344,0.75
0.601373928326776,190.085697734516,0,0,0.01,0.01,1.11617831604087,1
0.0207967644131618,2.67604540183937,0.104364032277863,0,0.01,0.01,-0.133760755630623,0
0.0835429370397446,11.4859828053552,0.000936525431797453,0,0.01,0.01,0.284182382114451,0.25
0.219190631151113,35.3710145227333,2.50879053087516e-08,0,0.01,0.01,0.50611495208242,0.5
0.440430273011814,99.1730104810694,0,0,0.01,0.01,0.847667379263685,0.75
0.610104100246443,197.163182992284,0,0,0.01,0.01,1.05863497622545,1
0.00137031919294241,0.172897142583631,0.678257080548107,0,0.01,0.01,-0.0346489250800309,0
0.0575443659158553,7.69329594219436,0.00638557538744933,0,0.01,0.01,0.265725821378006,0.25
0.190146961751907,29.5837837844855,2.67617914939677e-07,0,0.01,0.01,0.482325793598654,0.5
0.330954789502679,62.3280801103718,1.22479804076647e-12,0,0.01,0.01,0.675534215138735,0.75
0.451008123695299,103.51159286384,0,0,0.01,0.01,0.931562913336345,1
0.0181166361973346,2.32481396978116,0.129831552009668,0,0.01,0.01,0.139765922370981,0
0.0750813604097603,10.2281984670791,0.00174935242867402,0,0.01,0.01,0.278005045586665,0.25
0.106853041071136,15.0742081584307,0.000165891849383426,0,0.01,0.01,0.331530162804644,0.5
0.350524396923906,68.0026683115263,1.83630888273001e-13,0,0.01,0.01,0.695553753591662,0.75
0.535296691741428,145.14074240653,0,0,0.01,0.01,1.18203788343309,1
0.00301584178856749,0.381145540006582,0.538104908459389,0,0.01,0.01,-0.0519031454331058,0
0.154006456183403,22.9373068162746,4.61591165934472e-06,0,0.01,0.01,0.39567812691319,0.25
