"lambda.input","lambda.est","kappa","kappa.z","CI.lower","CI.upper"
0.05,0.0553023304266437,0.0505442003388829,-0.6039,0,0.173233371781079
0.05,0.112184313206444,0.0655691295252592,1.3623,0,0.307879699809397
0.05,0.0964427226819115,0.0435045229917715,1.6135,0.0164386381103815,0.242019804215529
0.05,0.0669923381146086,0.0405375595021557,-0.6332,0,0.227850651431596
0.05,1e-06,0.041645321213137,0.3273,0,0.0303440554341813
0.05,0.0155840575960784,0.0361900869552831,0.6931,0,0.101828684136801
0.05,0.039662904748913,0.0639199812128489,0.9768,0,0.142274045547948
0.05,1e-06,0.0181862297035808,-1.9513,0,0.0459404275223033
0.05,0.0972240753607847,0.0377722533727069,1.1536,0.0315629755532993,0.210039173478032
0.05,0.0712155524131189,0.0406079359719293,-0.4603,0.0103972544736604,0.179787104713035
0.05,1e-06,0.0390442067871975,0.171,0,0.152887570239828
0.05,0.0278713457441524,0.00882445294088679,-1.9554,0,0.140288482664006
0.05,1e-06,0.0363583066250733,0.4865,0,0.0586677565002425
0.05,0.164517736955733,0.0314779629606126,-0.0997,0.051691075914169,0.315424151929545
0.05,0.039722097620686,0.0548151568228648,0.9401,0,0.169365961598544
0.05,0.0953949527664591,0.0583062555126609,1.5982,0.0151346271339325,0.230553119836301
0.05,1e-06,0.014221888159549,-1.0475,0,0.0560634124535695
0.05,1e-06,0.0282936064459026,0.2988,0,0.0517040357202382
0.05,0.0558346273260042,0.0206827961321594,-0.6215,0,0.248840401835293
0.05,0.0101499885027047,0.0344895541232063,1.5731,0,0.146651283516754
0.05,0.091447193420511,0.0655482862578762,1.3804,0.0293885782788986,0.201276194769616
0.05,1e-06,0.0179771871084578,NA,0,0.0314342185652208
0.05,0.0584571554621717,0.0497971759015868,NA,0.00510402924226704,0.159770170640978
0.05,0.0158111287803498,0.0636323718730118,NA,0,0.10519808188189
0.05,0.0348627506070366,0.0282776768221859,NA,0,0.171076967375526
0.05,0.0644467372917325,0.0208926489070127,NA,0.00564535178738982,0.18734792932504
0.05,0.0169695804304949,0.0149124886987715,NA,0,0.152098111919733
0.05,0.0649651695917304,0.0346697797432548,NA,0.0139594598755467,0.166161078952551
0.05,0.0233354471794698,0.0231106908317807,NA,0,0.119855266947226
0.05,0.042103087703802,0.037090603099321,NA,0,0.146913970010963
0.05,0.0788648274847137,0.0378010913839003,NA,0,0.236682729639214
0.05,0.139766038184284,0.0529727119759347,NA,0.0406882675086543,0.300403414570708
0.05,0.0368101633674679,0.0124982401351944,NA,0,0.13786255880609
0.05,0.119465054048471,0.0321367231164536,NA,0.00556954448522508,0.268054382477725
0.05,0.0387193168361247,0.0283566750506881,NA,0,0.156619435593784
0.05,0.0563518976423991,0.0217010642931428,NA,0.00615886731625117,0.159128492064037
0.05,0.0020737573448242,0.0301752732068784,NA,0,0.058179922784156
0.05,1e-06,0.04172599273515,NA,0,0.0938073512965427
0.05,1e-06,0.0533942732875299,NA,0,0.0608871742205107
0.05,0.0336942405656418,0.0224652394212753,NA,0,0.137212503829228
0.05,0.100207398485694,0.043352394450398,NA,0.0367281522181021,0.20634200507766
0.05,0.0666916792746858,0.0737496126956286,NA,0.00745937312462559,0.177325490831311
0.1,0.224975688093229,0.0150504078161438,NA,0.0737909538714387,0.403057190074509
0.1,0.0794917367893275,0.0318590085503516,NA,0.0245293563595473,0.186750370518321
0.1,0.108372947029949,0.0465677799660623,NA,0,0.298511595086434
0.1,0.0363285654294881,0.00697472843044806,NA,0,0.147328129828327
0.1,0.17286739673325,0.0360012268161491,NA,0.0671035522200672,0.325750314942723
0.1,0.0826803606634964,0.0236202265698368,NA,0,0.253446312998449
0.1,0.0725408314543158,0.0418706210261028,NA,0.01642500865324,0.178954146926871
0.1,0.0688116307189359,0.0512053435910771,NA,0.0127249057882699,0.175636112916757
0.1,0.175646832393758,0.0622742184234084,NA,0.0552632605141562,0.336354636970896
0.1,0.0271511491352238,0.0769386814437626,NA,0,0.113410974172966
0.1,0.0236881833166274,0.0477018210786183,NA,0,0.14071013786211
0.1,0.123684244855232,0.012741874695017,NA,0.0317334770971542,0.272055179604808
0.1,0.14467299633899,0.022215597874717,NA,0.0661234220291917,0.269417569021687
0.1,0.11171624126679,0.0343972309435093,NA,0.0425699532553647,0.235641839673335
0.1,0.119612141901403,0.0223248756072204,NA,0.045732031064825,0.246972188110626
0.1,0.0848418406272946,0.0578748379662134,NA,0.0193567929456405,0.195866528386471
0.1,0.138523369791047,0.00876811952142097,NA,0.0573574146855769,0.27879928112577
0.1,0.121403701080497,0.00407400031769813,NA,0.0327901480187401,0.263352669873264
0.1,0.198840724838887,0.101069524931637,NA,0.0908123170153795,0.341581491301362
0.1,0.132847114113376,0.0591082051031384,NA,0.043846038188563,0.283288659646874
0.1,0.127491889821815,0.0582784753570131,NA,0.0603448419388114,0.238584808071362
0.1,1e-06,0.0242643019419716,NA,0,0.203896797340085
0.1,0.0842784786377907,0.0177208933844642,NA,0.0171156300069557,0.223246728991627
0.1,0.0371233200951055,0.0132068142674025,NA,0,0.151938716831089
0.1,0.130390840833523,0.0518219949875305,NA,0.049387410293928,0.247569516403899
0.1,0.15264939059721,0.0204094696730179,NA,0.0713530770657088,0.282452506509327
0.1,0.0646915876851207,0.029799634222192,NA,0,0.210996804955183
0.1,0.0405092086305253,0.0341898752225728,NA,0,0.162712560787369
0.1,0.0305915604892002,0.0440512439806878,NA,0,0.142185048649613
0.1,0.104596664152269,0.0215778350061304,NA,0.0350098866458112,0.232635111066097
0.1,0.11590374487023,0.03887201339577,NA,0.0420927574485404,0.239839322848239
0.1,0.169568198043701,0.0396692188689436,NA,0.0642475181338631,0.314883244664566
0.1,0.16095296194466,0.0231655074450851,NA,0.0657344388895866,0.294153259685188
0.1,0.0913543413614283,0.0775436744956023,NA,0.0331947804186389,0.198812637383392
0.1,0.0612421393407192,0.03551778614848,NA,0.00599631005040674,0.160701987796914
0.1,0.0441520221709365,0.0441930825543219,NA,0,0.205350604801885
0.1,0.122563921526676,0.0680454968842603,NA,0.0288645937922796,0.264145802709183
0.1,0.0652531805808223,0.0073406076209536,NA,0.00745080856479647,0.209409820226161
0.1,0.127093686660684,0.0558144413303256,NA,0,0.316866878329255
0.1,0.119902692376006,0.0337883551416734,NA,0.0191187718484001,0.272763385719636
0.1,0.060799471719677,0.0213778264993218,NA,0,0.207682278772639
0.1,0.136173567521663,0.050583593111498,NA,0.0609386163204188,0.253196568067329
0.1,0.168525104471433,0.0423045248509441,NA,0.0752231088535887,0.311647328036024
0.1,0.129570140308961,0.0353025238670545,NA,0.0381571853241406,0.270584677321275
0.1,0.116067843578575,0.0132835753986767,NA,0.0281475512039748,0.26282908318107
0.1,1e-06,0.0298048927711318,NA,0,0.0606552494992481
0.1,0.104368134015144,0.00588674636405862,NA,0.033755390524276,0.234786113465854
0.1,0.156671958197792,0.0498959653120894,NA,0.0555160653638763,0.313300864024869
0.1,0.132815787900385,0.0213522411386062,NA,0.05797254109702,0.253759506769516
0.1,0.0809238930732255,0.0352689455103264,NA,0.00411064872194377,0.209369194994711
0.15,0.187268655162572,0.00655602022058322,NA,0.0884612026166381,0.337804089652225
0.15,0.104903191781467,0.0327152378798309,NA,0.0218051230814613,0.250196399203554
0.15,0.180759423504843,0.0482825868538566,NA,0.0797544186753413,0.318718884525085
0.15,0.165964307033982,0.0583321403859361,NA,0.0869487693961004,0.285437712222361
0.15,0.0786365526951162,0.0586841869739131,NA,0.0226964378115812,0.201598606166552
0.15,0.0564589851919474,0.0380337633640543,NA,0,0.173594778188279
0.15,0.0548186346214493,0.0418285891026084,NA,0.00759739056304416,0.155798795630863
0.15,0.155042025776951,0.0711146231867959,NA,0.0658758545315059,0.293502382481016
