"lambda.input","lambda.est","kappa","kappa.z"
0,1e-06,0.0679529343998946,-0.5848
0,1e-06,0.0458488142153374,-0.7478
0,1e-06,0.0854026934338792,-0.0296
0,1e-06,0.111507140099595,0.9607
0.05,1e-06,0.0242567110926615,-0.8227
0.05,1e-06,0.153261466167389,1.8753
0.05,1e-06,0.117895394635795,1.9694
0.05,1e-06,0.00523022962748146,-1.5216
0.05,1e-06,0.0698381355343904,0.7796
0.05,0.0481370314705378,0.0262715819640305,0.6933
0.05,1e-06,0.0694555285698567,-1.0818
0.05,0.0649974830280972,0.167163801562414,1.3042
0.05,1e-06,0.142621026216469,-0.3089
0.05,1e-06,0.183089225821461,2.3932
0.05,1e-06,0.0634297875907909,0.9117
0.05,1e-06,0.0938632297405661,-1.026
0.05,1e-06,0.0958012901395294,0.1804
0.05,0.0142740324788878,0.0853526970440431,0.249
0.05,1e-06,0.0618386153030119,-0.1628
0.05,1e-06,0.0838579024484214,0.8869
0.05,1e-06,0.103082526369924,1.1541
0.05,1e-06,0.0410804267162725,0.4827
0.05,1e-06,0.0752435168600156,-0.0876
0.05,1e-06,0.0703434664809168,-0.2505
0.05,0.15529483027974,0.0245045148836382,-0.2756
0.05,1e-06,0.0282577833877873,-0.3858
0.05,0.0475061092960678,0.198627561994531,2.5024
0.05,0.112259029267463,0.161606470637625,1.9758
0.05,1e-06,0.0460140807871211,-0.9702
0.05,0.150335360817834,0.108965401521398,-0.1539
0.05,1e-06,0.127158223993476,1.0172
0.05,1e-06,0.078560351745712,1.368
0.05,1e-06,0.0930455555745898,0.4619
0.05,0.215037936973614,0.0568625574175961,1.0222
0.05,1e-06,0.0051812242354315,-2.6622
0.05,1e-06,0.0366713708602425,-1.546
0.05,1e-06,0.0683001058238367,0.1921
0.05,0.0135134040215112,0.0367800418349429,0.2138
0.05,1e-06,0.0913364524052258,-0.1155
0.05,1e-06,0.0417190763972946,-1.3776
0.05,1e-06,0.184759652789762,0.5424
0.05,0.0675989242397074,0.175856583049475,-0.2157
0.05,1e-06,0.0125035272484661,-0.5949
0.05,1e-06,0.118372222277994,0.569
0.05,1e-06,0.0227634664408069,-2.4012
0.05,1e-06,0.0683748274729859,-0.4271
0.05,1e-06,0.141329969295436,1.0092
0.05,1e-06,0.241210219288642,1.9501
0.05,1e-06,0.138058956162556,0.0378
0.05,1e-06,0.103748225345798,-0.5696
0.05,1e-06,0.156363998612937,0.8895
0.05,1e-06,0.0035165990795864,-2.3447
0.05,1e-06,0.102685906337365,0.4644
0.05,1e-06,0.206386552406032,1.1681
