"lambda.input","lambda.est","kappa"
0.05,1e-06,0.0291222636365902
0.05,0.00528840227876805,0.0465202286813764
0.05,1e-06,0.0223931396306222
0.05,1e-06,0.0640303080613984
0.05,0.106645332431364,0.0460115024992946
0.05,1e-06,0.000597469233883159
0.05,1e-06,0.0301018031334383
0.05,1e-06,0.0223552668779537
0.05,1e-06,0.0735919512502657
0.05,0.0387077848634924,0.0153465791745362
0.05,0.0581328408748612,0.000890803443387032
0.05,0.0321680481488851,0.0697143878343788
0.05,1e-06,0.0842482157779045
0.05,0.0558647333909473,0.0365269261658531
0.05,1e-06,0.0357010293994435
0.05,0.0527614430341815,0.0675964388595797
0.05,1e-06,0.0337870756533665
0.05,0.0346384787486604,0.0137575087294314
0.05,0.102778235168734,0.0839880680232937
0.05,1e-06,0.136222904966425
0.05,1e-06,0.0760528128253438
0.05,0.0551931483693,0.0866023445068635
0.05,1e-06,0.0477918011533257
0.05,1e-06,0.066128096634992
0.05,0.130925751367075,0.0487123531920404
0.05,1e-06,0.0737052609491057
0.05,0.0544446151927595,0.0319956421960556
0.05,1e-06,0.0213699143750062
0.05,0.0654569907846005,0.0532824963512389
0.05,1e-06,0.0471655559071088
0.05,0.107070397097288,0.10859097452794
0.05,1e-06,0.0405882354670903
0.05,1e-06,0.0462139240046365
0.05,0.0449621279710038,0.0966159516238629
0.05,1e-06,0.0783270779293047
0.05,0.0350991446769714,0.115355834520018
0.05,1e-06,0.0429042074655518
0.05,0.0446216829849284,0.0980727360526485
0.05,0.0398695073493599,0.0198414141214114
0.05,1e-06,0.0724914186786458
0.05,1e-06,0.00801054442310114
0.1,1e-06,0.0102084832417618
0.1,0.293681746383976,0.133580834009092
0.1,0.212327909192902,0.0922616536989902
0.1,1e-06,0.12203778343576
0.1,1e-06,0.0623276816543526
0.1,1e-06,0.142730196595234
0.1,1e-06,0.0158930843767283
0.1,0.328526114820909,0.140665468698673
0.1,1e-06,0.0554320883948933
0.1,0.148281524564212,0.0812532406533999
0.1,0.0827201711390238,0.0782583753605285
0.1,0.025494970548942,0.0671189453679915
0.1,0.160667832318913,0.0588843558783374
0.1,0.158465984274559,0.0584613368963591
0.1,0.0473011945821772,0.015063314225329
0.1,0.104063728846208,0.0991775237471299
0.1,0.078224332321942,0.0647918053809805
0.1,1e-06,0.0269785798833794
0.1,0.131460994506247,0.0797228887991927
0.1,0.028302293884034,0.0693405510780345
