"Rsq","F","P","lambda.input","lambda.est","slope","beta"
0.0190664821013889,9.9129101965434,0.00173735797460361,0,0.01,-0.139712374368357,0
0.0765456676146168,42.2741971252811,1.89331217370636e-10,0,0.01,0.293808449698627,0.25
0.192046785376637,121.224668420612,0,0,0.01,0.466661155121662,0.5
0.37618183123122,307.545922085885,0,0,0.01,0.763658430260771,0.75
0.502215932654846,514.540626059001,0,0,0.01,0.985244343589179,1
0.000961950872282419,0.49106732750808,0.483771161848693,0,0.01,0.0303638551117671,0
0.100436622220962,56.9417103874951,2.07833750209829e-13,0,0.01,0.322254868521606,0.25
0.216517307578276,140.939714345959,0,0,0.01,0.510984956631936,0.5
0.425110328888266,377.126740360026,0,0,0.01,0.778232514830803,0.75
0.527467776466364,569.291473893943,0,0,0.01,1.00928430823434,1
0.0016450216320643,0.840343415449568,0.359731842631285,0,0.01,-0.0420993589493538,0
0.0457473995390021,24.4496831904045,1.03689008490448e-06,0,0.01,0.224864997540455,0.25
0.150859082907737,90.6070249757921,0,0,0.01,0.426051956483191,0.5
0.324921289794405,245.4674622233,0,0,0.01,0.714916223467227,0.75
0.493580968677991,497.071157394387,0,0,0.01,1.03034201135793,1
4.91838085014377e-08,2.50837435694473e-05,0.996005876089168,0,0.01,0.000237077243590074,0
0.0501659253149982,26.9358855325693,3.04169726517145e-07,0,0.01,0.249895920813464,0.25
0.151144024978598,90.808635395588,0,0,0.01,0.457510672072791,0.5
0.360359303336942,287.322626062756,0,0,0.01,0.781122657293238,0.75
0.502267626799203,514.64703414872,0,0,0.01,1.06948536676608,1
0.00144446073697274,0.737740613205942,0.390789116727825,0,0.01,0.04140631646601,0
0.0608837960370506,33.063784702964,1.53779469158621e-08,0,0.01,0.284220155663533,0.25
0.184234872555671,115.17994805411,0,0,0.01,0.51893656854919,0.5
0.322060681939683,242.279719458055,0,0,0.01,0.781397455330432,0.75
0.425806812532171,378.202805486219,0,0,0.01,0.94133615302086,1
0.000649382176500888,0.331400115343647,0.565089726323133,0,0.01,0.0269821947518274,0
0.052086962899498,28.0240381121876,1.78353242841212e-07,0,0.01,0.239168642753905,0.25
0.186145071547334,116.647307978625,0,0,0.01,0.526092136165549,0.5
0.327789550503411,248.690973015867,0,0,0.01,0.776817873335889,0.75
0.481213452471672,473.063270298373,0,0,0.01,1.00476122897932,1
0.00177026088394803,0.904434135185119,0.342045999758626,0,0.01,-0.0417620493974718,0
0.0502093862330046,26.9604548704397,3.00519759299789e-07,0,0.01,0.226108091610671,0.25
0.221565884845692,145.161419664789,0,0,0.01,0.510865724806556,0.5
0.37562150942235,306.812250415878,0,0,0.01,0.770173912286074,0.75
0.482336716440603,475.196393480516,0,0,0.01,1.00338748543327,1
2.69111713010697e-06,0.00137247342984131,0.970462099954957,0,0.01,0.00165990665975958,0
0.0690749294497274,37.8421584441135,1.55157353631807e-09,0,0.01,0.283770165428102,0.25
0.174681633558417,107.943354634043,0,0,0.01,0.444870253834384,0.5
0.422489027518195,373.100104242725,0,0,0.01,0.758190823405353,0.75
0.524856118429087,563.359080861666,0,0,0.01,1.04715039865386,1
0.00100730646671176,0.514244299631487,0.473635572184196,0,0.01,-0.0316620664387619,0
0.0665702381051323,36.3721222737714,3.13289971742847e-09,0,0.01,0.263942500352964,0.25
0.185173174151002,115.899864635178,0,0,0.01,0.463164504455057,0.5
0.42711138116063,380.225400241364,0,0,0.01,0.866671466640954,0.75
0.53500574625096,586.78774713472,0,0,0.01,1.00913179025035,1
0.000327666517372836,0.167164698134612,0.68281565160419,0,0.01,0.0175974292124186,0
0.0541850622502366,29.2175357405192,9.95072619858206e-08,0,0.01,0.248742083827859,0.25
0.169021779307791,103.734496645613,0,0,0.01,0.480635783800578,0.5
0.371375327320329,301.294914381894,0,0,0.01,0.790073743462925,0.75
0.527044614917739,568.325812721841,0,0,0.01,1.06376154836344,1
0.000267961117113693,0.136696799154991,0.711740649894499,0,0.01,0.0164911596179675,0
0.0483700052105137,25.9225778847156,5.00834261174532e-07,0,0.01,0.221700874103734,0.25
0.182183677538083,113.611911369926,0,0,0.01,0.48503865395002,0.5
0.382082205118593,315.352505178914,0,0,0.01,0.746100753380939,0.75
0.574444868167097,688.434613638392,0,0,0.01,1.06506264371136,1
0.00053324535776954,0.272100228646239,0.602152839687842,0,0.01,0.0227077571860037,0
0.0877100491912817,49.0327938479427,7.97806265495637e-12,0,0.01,0.298433842850344,0.25
0.267440745429055,186.18941651171,0,0,0.01,0.585904206835902,0.5
0.343936809384639,267.364143111947,0,0,0.01,0.733095218298924,0.75
0.478411945814077,467.783129630894,0,0,0.01,0.960025607014875,1
0.00823822544574309,4.23639535736021,0.0400735989442178,0,0.01,0.0877115246239812,0
0.0660981276281239,36.0959176628784,3.57610208112646e-09,0,0.01,0.248424775411988,0.25
0.191567984049155,120.850819781251,0,0,0.01,0.475743550151185,0.5
0.388006586320746,323.34230173152,0,0,0.01,0.757760524579768,0.75
0.534828214399661,586.369160356118,0,0,0.01,1.03488387082135,1
0.00424735683182027,2.1753916488098,0.140850854486487,0,0.01,-0.0643801301023408,0
0.0171084099737866,8.87716323465383,0.00302524887556599,0,0.01,0.126271228964217,0.25
0.163448727591584,99.645836210038,0,0,0.01,0.442783596797885,0.5
