lambda.input,lambda.est,kappa,kappa.z,CI.lower,CI.upper
0.15,0.110653531,0.031930707,-0.501266763,0.047715257,0.203691387
0.15,0.138356285,0.00088674,-1.362164525,0.057830321,0.249651866
0.15,0.212558648,0.037141993,1.160552328,0.135247188,0.307270945
0.15,0.163038213,0.009363191,-0.800521248,0.080464903,0.279688119
0.15,0.129305537,0.002358425,-1.048551636,0.063024943,0.227367721
0.15,0.14139404,0.027228093,-0.438415396,0.078620685,0.228721666
0.15,0.082633912,0.038089764,1.021306273,0.036561465,0.158160772
0.15,0.086766558,0.034578291,1.881673116,0.031380609,0.176578699
0.15,0.115053021,0.036427572,1.546716669,0.048542387,0.216206492
0.15,0.109648772,0.019215735,-1.758576411,0.053442407,0.194914102
0.15,0.173396474,0.010636435,-1.474641939,0.094013282,0.279196228
0.15,0.139931181,0.034080951,1.271667513,0.075274415,0.23095544
0.15,0.141642786,0.04146938,0.181809618,0.073950935,0.236883616
0.15,0.104608222,0.010449497,-2.046104407,0.049357754,0.185141612
0.15,0.173850311,0.015447275,-1.425603024,0.098472356,0.274148438
0.15,0.194471555,0.035439768,0.380236589,0.117970134,0.288972877
0.15,0.15218066,0.042193638,2.29594763,0.080957269,0.248945767
0.15,0.116359622,0.023804785,0.174548446,0.05455207,0.210918586
0.15,0.134670828,0.029231628,0.416694931,0.063739426,0.23587457
0.15,0.125375903,0.048134471,1.999962666,0.068257718,0.211717113
0.15,0.179765093,0.00847344,-0.664135362,0.101213944,0.283973578
0.15,0.186441647,0.024682888,1.445202691,0.111561033,0.284846291
0.15,0.109481512,0.029663557,0.650330498,0.04840243,0.210279624
0.15,0.160795977,0.030121363,-0.180338216,0.088217976,0.254543058
0.15,0.138159831,0.033507073,1.219818799,0.074726509,0.231229884
0.15,0.11459889,0.033216479,1.156954335,0.05037644,0.210541137
0.15,0.123222455,0.035176166,2.140837938,0.049572785,0.228276925
0.15,0.103651668,0.032842536,1.391937365,0.041698684,0.194006968
0.15,0.151168207,0.017884044,-0.751387887,0.087668185,0.237824009
0.15,0.096421912,0.028289041,0.929174524,0.043204197,0.179456992
0.15,0.130503789,0.024829401,0.107396679,0.058282079,0.233952392
