"AIC","F","P","lambda.input","lambda.est.x","lambda.est.xy","slope","beta"
181.380428530729,94.2101516313706,4.66293670342566e-14,0,0.01,0.01,1.00399532278285,1
166.103786865327,0.57963251905538,0.449342599845022,0,0.01,0.01,0.086996747242983,0
177.734435493995,4.40352841358177,0.0399452682012091,0,0.01,0.01,0.262596522778125,0.25
178.752901177113,29.8910258843809,8.65809901107184e-07,0,0.01,0.01,0.689627479069574,0.5
189.379526769851,50.4421826329482,1.43024569965178e-09,0,0.01,0.01,0.97341141182072,0.75
198.855721634385,53.1092458499218,6.82478518143625e-10,0,0.01,0.01,1.07556482334709,1
182.962425583386,1.16589647474227,0.284428610346086,0,0.01,0.01,-0.135440174515005,0
168.491143410592,4.52584929898525,0.0373713892429097,0,0.01,0.01,0.238323885184385,0.25
173.674177151614,17.3607392335177,9.74484970246436e-05,0,0.01,0.01,0.486057088109424,0.5
192.209038261176,26.3911614625538,3.00061367886073e-06,0,0.01,0.01,0.692659557678195,0.75
166.102079639712,77.0812452510523,1.7768009286101e-12,0,0.01,0.01,0.965352601104978,1
194.140323584016,0.174655471424978,0.677450953620419,0,0.01,0.01,0.0511491109987368,0
189.379847155372,6.29295411765537,0.0147513314325094,0,0.01,0.01,0.295816457729869,0.25
184.228343285149,7.94837357179257,0.00645325903154204,0,0.01,0.01,0.3193416135961,0.5
195.048124545841,46.2554645786414,4.74414907358778e-09,0,0.01,0.01,0.838317663580275,0.75
193.645156758502,52.4175627276455,8.25417512118065e-10,0,0.01,0.01,0.882684173437953,1
179.936197980976,1.28787495286252,0.260808357843635,0,0.01,0.01,-0.143810774800056,0
175.344569216884,10.0976376235197,0.002315684252576,0,0.01,0.01,0.388494981620126,0.25
157.863445432693,19.6589547440721,3.85420481001653e-05,0,0.01,0.01,0.472871980376018,0.5
193.537711801528,40.4065984692585,2.75447287201303e-08,0,0.01,0.01,0.895838346611102,0.75
188.416717802048,58.2660554711743,1.71440195373407e-10,0,0.01,0.01,1.03356111020633,1
208.672386027281,1.11693821031756,0.294679339166303,0,0.01,0.01,-0.145586840056639,0
185.681131364614,0.797695821758234,0.375236880780092,0,0.01,0.01,0.102806029591667,0.25
187.702152586959,20.1858256788184,3.12940054632005e-05,0,0.01,0.01,0.525388257678098,0.5
177.644021666604,24.2519768603163,6.58992359658939e-06,0,0.01,0.01,0.532358490862299,0.75
165.32984199179,116.509441430593,6.66133814775094e-16,0,0.01,0.01,1.05981503615147,1
174.168031307517,0.036924376198227,0.848247093803179,0,0.01,0.01,0.0226250252338445,0
171.443465326089,1.70188866645012,0.196863042096387,0,0.01,0.01,0.150367442104894,0.25
191.002513543267,24.249895652981,6.59503909572479e-06,0,0.01,0.01,0.661310734382068,0.5
181.259827897616,20.9247810958453,2.3425887150097e-05,0,0.01,0.01,0.569278639980848,0.75
171.032756337618,58.4711027461721,1.62483360099941e-10,0,0.01,0.01,0.878547760788034,1
