"AIC","F","P","lambda.input","lambda.est.y","slope","beta"
2933.02536340149,0.07717842829242,0.781214358621655,0.05,0.0572593673663838,0.00870074809473281,0
2863.7169700855,73.0657668849436,0,0.05,0.089476693661089,0.258300914235836,0.25
2858.2519548771,294.947640327189,0,0.05,0.066471900968144,0.518316336937369,0.5
2841.01545604386,639.037447768745,0,0.05,0.0643616737379203,0.75663095820857,0.75
2834.45108776191,1059.20422250345,0,0.05,0.0333161296565147,0.972544651303367,1
2874.72045196475,2.80924577229636,0.0940282851472993,0.05,0.0349150378933973,-0.0522464896710708,0
2867.26407988894,42.6018647284742,1.05459641019934e-10,0.05,0.0685518804504976,0.202980858185808,0.25
2920.45296193217,235.718136777401,0,0.05,0.0612385612355715,0.489960032022612,0.5
2937.13696776302,505.919058237444,0,0.05,0.0563679863781301,0.72358581692265,0.75
2920.7118708175,984.013755067636,0,0.05,0.0276904551366467,0.999391806660467,1
2923.19715867302,1.61560359940683,0.203995116344435,0.05,0.0475923129855528,0.0405232893814,0
2891.9284854372,38.6685659268329,7.30862481646e-10,0.05,0.112071775994356,0.195157742964417,0.25
2910.27174042084,255.087229625301,0,0.05,1e-06,0.500997626001644,0.5
2920.65080904996,574.360850820787,0,0.05,0.0590468234779628,0.763281934527369,0.75
2874.8018622341,1076.19243220733,0,0.05,0.0110300573992477,1.01750874210898,1
2831.88537931942,0.39328931451264,0.530715517849698,0.05,1e-06,-0.0191757958660427,0
2900.50871056336,77.1396449121422,0,0.05,0.0665220117867689,0.279105022191756,0.25
2880.25313457581,285.153907719357,0,0.05,1e-06,0.528681057915092,0.5
2839.22075458595,615.015025032136,0,0.05,0.0291378047954366,0.764334566930352,0.75
2827.62159468045,1137.35454770318,0,0.05,0.0317335792916518,1.03365116057148,1
2792.88526218234,0.233433306596083,0.629093170539532,0.1,0.147757376418624,0.0144639050229303,0
2857.18735724807,58.8440632724632,3.95239396766556e-14,0.1,0.136354197071509,0.237044181537089,0.25
2886.19318385558,280.59394920584,0,0.1,0.104915261075171,0.525394985740334,0.5
2865.46662534988,569.708085303658,0,0.1,0.0493438401018471,0.741428679187933,0.75
2861.19960624286,1110.81002031691,0,0.1,0.0778123338784893,1.03309891719029,1
2853.70246983944,0.11740996396142,0.731931208108476,0.1,0.0452097091049882,0.010857746034676,0
2819.85576774369,100.734540063958,0,0.1,0.0975922304956396,0.313073403963649,0.25
2899.37645978501,225.332651014586,0,0.1,0.0401549344540818,0.486258995825998,0.5
2838.29191026485,625.861394906942,0,0.1,0.0707784062425357,0.787357863198504,0.75
2936.20595782099,901.167818434728,0,0.1,0.110912999920974,0.99101777899445,1
2834.73187502538,0.106500302557459,0.74423103660696,0.1,0.101276267011619,-0.00994974793753195,0
2812.47838222953,89.8137513751159,0,0.1,0.0635561296231213,0.285591672597442,0.25
2819.71004213059,274.696983436666,0,0.1,0.110325734353594,0.501619061933826,0.5
2715.18760702864,640.767368517559,0,0.1,0.0406539188899732,0.726215472322836,0.75
2859.30984364705,1087.81217220375,0,0.1,0.0458951951086513,1.01572980214204,1
2896.16498491027,0.206775298219758,0.649403288743271,0.1,0.0876743268494199,0.0141794107753011,0
2880.03578556583,78.8773452044148,0,0.1,0.0527975402435026,0.274596215192776,0.25
2932.8712367252,189.00571395361,0,0.1,0.055454038034005,0.436216551007555,0.5
2832.8682301647,619.980631334958,0,0.1,0.0633396531108238,0.75256916036438,0.75
2866.75531021583,1064.5425426205,0,0.1,0.0867938865467182,1.00288860535237,1
2904.34729886777,0.508194789988032,0.476084093321682,0.1,0.144616424044052,-0.0228781888127113,0
2873.15803954594,54.2059506576212,3.70814490224802e-13,0.1,0.122507939133664,0.232756980836279,0.25
2766.33744300811,277.642368813312,0,0.1,0.111331927194224,0.499986669340163,0.5
2903.8890416913,636.35427654999,0,0.1,0.0758530362740974,0.808797316457961,0.75
2783.35042584533,1043.01612997726,0,0.1,0.0363331893990805,0.972558683895341,1
2830.15882461688,1.45184365025712,0.228511288909212,0.1,0.082184234158211,-0.0389374747795327,0
2817.20305285973,53.6082235046473,4.9515946898282e-13,0.1,0.102660306736985,0.235082644033952,0.25
2761.18989156686,286.610996150983,0,0.1,0.129369599091982,0.528678092924598,0.5
2828.24226011877,557.756731586647,0,0.1,0.113146039597627,0.762270106962722,0.75
2794.63196629956,1016.28018466815,0,0.1,0.0384184298565255,1.01149777756434,1
2902.69022022324,0.316265993554857,0.573983660304046,0.1,0.127546009016736,0.0172923158138629,0
2925.89569917295,62.0406209381467,8.43769498715119e-15,0.1,0.0731009531683806,0.244734847188459,0.25
2918.11961850502,258.226237651388,0,0.1,0.147120172495256,0.497753331873673,0.5
2811.93220429194,658.396925681635,0,0.1,0.109255819920128,0.754774014070173,0.75
2883.44056492802,1053.18141345084,0,0.1,0.130146106982113,0.988530860629876,1
2836.54048387195,0.033823679051502,0.854118855474495,0.1,0.0532286338970013,0.00555445589939071,0
2828.71975481274,62.3452024881607,7.54951656745106e-15,0.1,0.0681458649353382,0.237885115793101,0.25
2840.9668595311,236.449420090782,0,0.1,0.136837315895694,0.466851397775716,0.5
2799.09788443251,694.20762500265,0,0.1,0.0365587511168723,0.779389160506338,0.75
2913.71456956365,1030.81237772247,0,0.1,0.0872075693295443,1.00932417187772,1
2833.43818002057,3.08337357554191,0.0793958273049737,0.1,0.0567196068711745,-0.0549476923631438,0
2849.45395970675,32.9735846465464,1.23119914263725e-08,0.1,0.0571923548401981,0.18109946500191,0.25
2872.74257589744,281.074751610257,0,0.1,0.106707600703121,0.534581911159959,0.5
2929.37791410823,524.251471339454,0,0.1,0.0929661664644122,0.750720554206676,0.75
2895.69284837854,1005.58212857326,0,0.1,0.126573775218449,1.0221113324072,1
2879.43220722703,0.0956690576418824,0.757153220634025,0.1,0.117521370856325,0.00926126092329681,0
2895.19784415329,67.5134379105877,6.66133814775094e-16,0.1,0.124448104629337,0.247930829129471,0.25
2833.02334910743,256.796138845669,0,0.1,0.122906221147302,0.469077076320365,0.5
2949.1841928832,591.760059573908,0,0.1,0.0289771791115617,0.750285415018917,0.75
2861.95078904697,1228.15381886123,0,0.1,0.0778105313118916,1.03970910476642,1
2895.0571977484,0.570830348882995,0.450103235804864,0.15,0.213584135338585,-0.0238138696285405,0
2825.07074821852,77.7383952071184,0,0.15,0.129520032493726,0.269483939157663,0.25
2831.12666398237,284.794041678602,0,0.15,0.123564385614122,0.517415206407207,0.5
2856.82937063019,669.99818030267,0,0.15,0.208950381447683,0.800950543486733,0.75
2734.63228414419,1181.10721843427,0,0.15,0.15466724269326,1.00419064909941,1
2824.21396655354,0.190949681250212,0.662219690171578,0.15,0.178762354686333,0.0137694979082303,0
2851.84282914844,92.3925846812895,0,0.15,0.172317158266468,0.307021736411969,0.25
2856.69261409489,271.621463824501,0,0.15,0.175244947942983,0.527650856837998,0.5
2852.54172974564,564.952513148861,0,0.15,0.170096187519233,0.759477626927074,0.75
2817.00808863325,1025.18315820273,0,0.15,0.151689158395256,1.00562367331932,1
2838.17834925629,0.447582814309216,0.503636169484487,0.15,0.126431602757812,-0.0214804328710134,0
2777.19897183698,35.703420517641,3.16952597501086e-09,0.15,0.139819823275096,0.18616923352909,0.25
2836.63790323136,207.927903117161,0,0.15,0.172242719564439,0.462101674247838,0.5
2853.38848984584,570.784368993875,0,0.15,0.174992315350833,0.771849989495047,0.75
2820.8030846325,1073.5348308351,0,0.15,0.0493956417063212,1.04301034203757,1
2832.14023783594,0.140840838990755,0.707524402385087,0.15,0.124264895049422,0.0113060799050017,0
2844.08196790654,60.4512206345874,1.82076576038526e-14,0.15,0.090649555181999,0.23560506134149,0.25
