"lambda.in","beta.in","coef..Intercept.","coef.x","aic","log.lik","Pval..Intercept.","Pval.x","lambda.opt.lambda","lambda.ci.val1","lambda.ci.val2","lambda.z","phy.signal","kappa.z"
0.1,0.75,0.936044065830018,0.682020020634478,2842.63222602929,-1419.31611301465,0,0,0.124876443735078,0.0671382607248792,0.211756282984933,6.95155254373218,0.0412656363865667,0.996392838750243
0.1,1,1.18530568300691,0.893468853264176,2883.93857744263,-1439.96928872132,0,0,0.11403128322106,0.0488796686394673,0.207774578322486,3.73090069048203,0.012311908532015,-0.97678033138111
0.15,0,1.03766275539705,-0.0509447475941448,2831.5549729544,-1413.7774864772,0,0.396823568223915,0.0761718803566515,0.0289064902737568,0.159968798188399,3.06451685445775,0.00537078511262661,-0.178061159397907
0.15,0.25,0.861495412189732,0.233405683874973,2862.08592508532,-1429.04296254266,3.38173933300823e-13,0.00013797497660617,0.0773102595604765,0.0286953602361923,0.17060308506467,3.56060481018028,0.0113372229835969,0.872409759946012
0.15,0.5,0.785324764243889,0.436912751505226,2827.34145034965,-1411.67072517482,8.27715988638289e-07,5.46229728115577e-13,0.154039556891074,0.0863078328538608,0.251133110580547,9.51444450296278,0.0161993872838882,1.31165003019815
0.15,0.75,0.943151848501418,0.831179486805824,2820.65790226755,-1408.32895113378,5.4330788756829e-09,0,0.158878623779683,0.064217033279383,0.287110972913483,4.49918453723823,0.0139749960918432,1.17406583141225
0.15,1,1.00369492004624,1.09014189243328,2757.32290269033,-1376.66145134517,2.95070634592776e-11,0,0.146547068228669,0.0785680076386878,0.243083193280191,5.5995238694357,0.0210285929573497,1.72287755380154
0.2,0,1.08569718662943,0.119255921892685,2833.42518195876,-1414.71259097938,3.86802012641851e-09,0.0473300813584778,0.145216826212089,0.0643809448728964,0.252263995134805,3.60407938083797,0.0141974712933565,-1.99877416862581
0.2,0.25,1.09284522076924,0.345790006381587,2765.99560796354,-1380.99780398177,1.74162123012245e-06,3.15724557609087e-09,0.23465377412846,0.14362838910109,0.343616641037183,9.95598918506051,0.0293985064057131,1.02917444994572
0.2,0.5,0.682315007878178,0.498749215501774,2789.01283936705,-1392.50641968352,0.00440780741837754,0,0.251820624815238,0.161236502444667,0.358717904724334,7.99216219299719,0.0261968380453594,0.599901600495643
0.2,0.75,1.02805842506278,0.731607667086186,2727.2140490069,-1361.60702450345,2.20034431341887e-07,0,0.186561419281844,0.102531739656205,0.291574543576324,5.08376291481971,0.0209559952081322,-0.334095527875204
0.2,1,0.990499067059156,0.972009092390123,2746.05460190224,-1371.02730095112,3.01389489658632e-05,0,0.255982013330986,0.164311299905074,0.364233529485216,8.57106132860123,0.0255336225874066,0.502820497766395
0.25,0,1.14264458528566,0.011154678634361,2802.53958093014,-1399.26979046507,1.85142390307647e-09,0.848850965787758,0.266566226289725,0.16162647251602,0.391518863891141,8.99295614105845,0.0256830078542142,0.69679138047803
0.25,0.25,1.26759698527493,0.198794313869077,2782.90677729875,-1389.45338864937,1.0316192344817e-12,0.000641976589715654,0.23957126969098,0.143837410701424,0.35559922045656,9.1326016255536,0.0293867018158312,0.971356454659587
0.25,0.5,1.09857949555819,0.572750509372902,2721.96756334889,-1358.98378167445,1.88626891883814e-12,0,0.198843660611222,0.118326358804771,0.308870280869939,12.3666994986656,0.0461823851159451,1.73932093671851
0.25,0.75,1.14091099922636,0.646843581943035,2844.71028943255,-1420.35514471627,2.58362109484267e-09,0,0.260656900421423,0.169439135964144,0.36948764322901,10.0574749056981,0.0351103715444313,1.28953143831501
0.25,1,1.03285438289029,1.05245403087907,2777.89227275433,-1386.94613637717,2.33502106539163e-12,0,0.168934110101849,0.0846325453310182,0.288947466031734,5.14658787793611,0.0173957024170489,0.0692574897802736
