"","lambda_input","K","mu","sd"
"188",0.15,0.999774020463544,1.75414085925966e-18,0.0258529998285065
"189",0.15,0.970210248724981,1.86863938493771e-18,0.0269865995594049
"190",0.15,0.976917109738094,-1.50936358409622e-18,0.0258685763723202
"191",0.15,0.960747872167638,-1.24442692478813e-18,0.0269081482144799
"192",0.15,0.932325773402314,2.31490716352811e-18,0.0260608727071177
"193",0.15,1.01179951659301,-1.59552546955682e-18,0.026345507833761
"194",0.15,0.961089686363891,1.31841017053311e-18,0.0261316971605485
"195",0.15,0.954303719010344,1.12954681076734e-18,0.0261366229511924
"196",0.15,1.00239484677467,-3.07560034840289e-18,0.0262740406477212
"197",0.15,1.07395422016594,-4.20091072388454e-19,0.0267807304562006
"198",0.15,1.00276043282896,-2.03171863827258e-19,0.0262713672778494
"199",0.15,0.971711398983648,1.09233368877915e-18,0.0266818105688986
"200",0.15,0.961929079683857,-4.95029771297936e-19,0.0262017331872903
"201",0.2,0.970928970399453,2.88327304739933e-18,0.0338255382904559
"202",0.2,0.983165720801758,-2.13491266223657e-19,0.0329358924365186
"203",0.2,1.02218210371399,2.3949331423188e-18,0.0354165482665421
"204",0.2,0.947256497693159,2.34398368702498e-18,0.034509202738952
"205",0.2,1.09029211951165,1.02474045958825e-18,0.0346949389648686
"206",0.2,1.1463344235263,-3.29209349939161e-18,0.0346547121965252
"207",0.2,1.03792391696281,-1.21131132468227e-18,0.0346976758766635
"208",0.2,1.06250079857824,-8.80753328884494e-20,0.0345389413643235
"209",0.2,0.960641365070464,2.29278266294583e-19,0.0353852507034172
"210",0.2,0.92405321298797,2.20549845883012e-18,0.0332027962021765
"211",0.2,0.957078780079809,-1.1942885035413e-18,0.0325548795897782
"212",0.2,1.03483946094821,-6.33132564117119e-19,0.0342016556255931
"213",0.2,0.986620207039307,-1.72239067626478e-18,0.0340991455819318
"214",0.2,0.961771372069612,2.21866812709403e-18,0.0349187547117896
"215",0.2,0.977404320929944,-4.02385542691997e-19,0.0347435064483458
"216",0.2,1.09832448379256,4.6766213677215e-19,0.0332175202512146
"217",0.2,1.00413890938309,1.55593853773395e-18,0.0347901072109402
"218",0.2,0.985535555164095,-1.26360713884575e-18,0.0343572597452432
"219",0.2,0.964128191922385,1.32669076462547e-19,0.0340667423148229
"220",0.2,0.994041486853742,3.37711527850521e-18,0.033022920318279
"221",0.2,1.10735012547542,2.45552479716769e-18,0.0347478837352457
"222",0.2,1.0190382820658,-6.42481266755965e-19,0.0336069945614653
"223",0.2,0.940738845006215,-3.32673545286842e-18,0.0346105258494764
"224",0.2,0.943287567183745,-8.67361737988404e-19,0.0364845090390326
"225",0.2,0.974945341893685,-3.74481736310599e-19,0.0339105471109378
"226",0.2,0.992540740722162,2.18955645172984e-18,0.0333432511958171
"227",0.2,1.03444713123839,3.26594389824398e-18,0.0334519320838509
"228",0.2,1.0451201793374,-7.30450720526007e-19,0.0350696582478337
"229",0.2,0.988200035789064,-1.17299833041207e-18,0.0337853456652835
"230",0.2,1.03381314483298,-1.27810834290275e-18,0.0347013034288979
"231",0.2,1.1881402940121,-2.04221676462085e-18,0.034808043375279
"232",0.2,0.965836083027594,-3.49766331349255e-18,0.0335232239006331
"233",0.2,1.06687942562505,-5.3048995860179e-19,0.0345051513034918
"234",0.2,0.973926670521494,-1.68971214515971e-18,0.0336577769083188
"235",0.2,1.01353428985508,-4.85902144258324e-19,0.0339651088863586
"236",0.2,1.10734681115843,-2.97459929273934e-18,0.0344886857118085
"237",0.2,0.93581608221872,-4.16987543669714e-19,0.0348156572924116
"238",0.2,0.918291326047004,-2.32072797394164e-18,0.0330298479797662
"239",0.2,0.999845080336982,-1.00410673699314e-19,0.0345895794504795
"240",0.2,1.10925488966862,1.49938384191167e-19,0.0352295870181564
"241",0.2,1.12775142005933,-2.39423010497258e-18,0.0343835015568597
"242",0.2,0.99015244808862,-3.00601913288479e-18,0.0332850172055786
