"lambda.in","beta.in","coef..Intercept.","coef.x","aic","log.lik","Pval..Intercept.","Pval.x","lambda.opt.lambda","lambda.ci.val1","lambda.ci.val2","lambda.z","phy.signal","kappa.z"
0.15,0,0.898869884342767,-0.00284494205531077,2823.12069078164,-1409.56034539082,0,0.925679070494323,0.0928985775102461,0.0418983661565772,0.172890815936216,3.13756900171486,0.00815189282744228,-0.407590439060623
0.15,0.25,1.01098367286355,0.270618843308183,2779.79192356304,-1387.89596178152,0,0,0.127099630770747,0.0643200645235792,0.215318289575695,4.02947268725595,0.00776509646555378,-0.490527168776016
0.15,0.5,0.923508263115378,0.52184648252752,2908.96704629259,-1452.4835231463,1.32338584535319e-13,0,0.19549732756919,0.115229134797369,0.298076338064974,6.33483667017188,0.0110065662173257,0.151781083452824
0.15,0.75,0.970927705134237,0.756822824360303,2898.36577975799,-1447.18288987899,7.105427357601e-15,0,0.195951511217427,0.0940619897414719,0.31954077370479,4.39458559726939,0.0160710685067132,0.770151999354922
0.15,1,0.943520637528344,0.989814734175044,2845.77631697466,-1420.88815848733,0,0,0.145037751988298,0.0812016730083022,0.232217175059739,5.20485426356386,0.00963448071536581,-0.084766989724164
0.2,0,1.28244182148562,-0.0393822444584211,2787.83007572696,-1391.91503786348,0,0.196128861835085,0.178553981622993,0.100820478961696,0.277543235793661,6.04127008738599,0.0197530491670213,-0.108141815228796
0.2,0.25,0.919230722593903,0.240907434129269,2817.55520951222,-1406.77760475611,2.1914470238471e-11,3.61932706027801e-14,0.187890106333277,0.0960327538499326,0.299182528112523,4.11487046737578,0.0184368511663486,-0.27356517826838
0.2,0.5,0.842954041658027,0.499881589757721,2832.94502443494,-1414.47251221747,4.61904623438869e-08,0,0.236105412096941,0.144146634128648,0.346469754421333,7.97617990553907,0.0245379326028884,0.582874415972768
0.2,0.75,0.91925737164775,0.789027841193347,2844.84791076036,-1420.42395538018,1.69668723515315e-11,0,0.183955807298939,0.111709288029143,0.277534532295042,6.91847081043779,0.0424478413549962,2.08575129380669
0.2,1,1.03622861593384,1.03181344964802,2852.31371142874,-1424.15685571437,0,0,0.103774729847611,0.0491872859465948,0.186848179164956,5.35851062693147,0.0190232316116115,-0.149177482756697
0.25,0,1.05528314688998,-0.0666055835094741,2797.31108995955,-1396.65554497977,1.12879927627318e-10,0.0411282657267558,0.306312394427405,0.214755390450736,0.407521575571267,9.90067267100612,0.0404010209314535,0.704022310374917
0.25,0.25,0.962136047416313,0.289569998005411,2838.82083664399,-1417.410418322,5.6399329650958e-12,0,0.217335860599462,0.14058226664061,0.310650858220669,7.37527029692733,0.0366247357072111,0.102418712090461
0.25,0.5,0.95283416543427,0.496885096921624,2690.4202184638,-1343.2101092319,1.21991305945812e-12,0,0.242275258020404,0.156121032229646,0.348773090346997,9.38003841639152,0.0528536287440833,2.41677974172839
0.25,0.75,0.917171174964069,0.746099760995636,2790.61744975339,-1393.3087248767,2.12478923344861e-11,0,0.231427365898943,0.126004312695864,0.356655291905754,5.64196448142332,0.0411167778559839,0.804425528745578
0.25,1,1.08763174256364,1.04653979712112,2725.29914755412,-1360.64957377706,7.99360577730113e-15,0,0.250205033530992,0.163324851948166,0.353479021537016,9.32087184161539,0.0450533828089769,1.47699074577475
