"lambda.in","beta.in","coef.(Intercept)","aic","log.lik","lambda.opt.lambda","lambda.ci.val1","lambda.ci.val2","lambda.z","phy.signal","kappa.z"
0.95,1,0.792074523122009,800.109703135419,-399.05485156771,0.927904267200715,0.891170690789147,0.953374602526373,19.3236393598551,0.17153648603306,3.51407281512602
1,1,0.860730534986123,521.169503747824,-259.584751873912,1,0.997200375569236,NA,32.062689198289,1.26406196017684,14.516110016766
0,1,1.01374701570836,1453.76916249936,-725.88458124968,1e-06,NA,0.0450895684114767,9.66698404918351e-06,0.0369729403613364,-0.696657223613308
0.05,1,1.00595624183164,1452.11349737773,-725.056748688866,0.0137880399059335,NA,0.0907949147645016,0.181168776235457,0.0590693760309643,1.66923162011836
0.1,1,0.810632321294281,1366.55572856606,-682.277864283031,0.102118538420944,0.0256551191270637,0.23671083591754,2.15684796678991,0.011483925350921,-1.29743792539257
0.15,1,1.18024452769224,1419.37867023125,-708.689335115625,0.057602617610424,0.0123103670653628,0.148445522410997,1.4010151836637,0.0308175275228778,0.402788136648815
0.2,1,0.959713555823073,1433.96305571344,-715.98152785672,0.220400341345026,0.119434818140414,0.355608365133837,5.75242938127336,0.0211628472360517,0.190827949085859
0.25,1,1.15717120507408,1355.29745713478,-676.648728567391,0.200801912995645,0.0968039114439612,0.337826911077691,5.12554861700643,0.0398023340793905,1.80808773108452
0.3,1,0.716122747779706,1294.32061886358,-646.160309431789,0.222915117581628,0.106574601366708,0.377039985486179,5.81388210934732,0.0196329073391335,-1.88281620526935
0.35,1,1.40773112750682,1304.85711266207,-651.428556331034,0.419082255111595,0.261299636962923,0.569102054095945,6.5310547935366,0.0637372278479087,2.13753483211694
0.4,1,0.817038046585174,1252.88141043969,-625.440705219845,0.344351777384101,0.203340564897114,0.498071196286657,6.05475547012363,0.0388121815873188,0.421241383214388
0.45,1,0.737865511454959,1311.1569171888,-654.578458594399,0.560476978100828,0.434010501804041,0.673701743635232,12.5400763259945,0.0298260373094678,1.63221804344782
0.5,1,1.26251765533164,1337.63688341348,-667.818441706741,0.427025037161636,0.295007914393995,0.559917645623025,12.282673159802,0.0198152423719974,-0.454324049336032
0.55,1,1.26637836055498,1214.92329578299,-606.461647891495,0.589675037121041,0.466807214838449,0.698841639464234,13.9222588137882,0.0582619151115097,1.14436498702772
0.6,1,1.12129143406405,1223.4454999229,-610.722749961449,0.585563109874903,0.447655977382464,0.702541480684539,9.61008730510128,0.119369881835579,3.86795253762644
0.65,1,1.25680988458675,1230.07033052237,-614.035165261183,0.619072803629013,0.476916453115724,0.738237839405315,13.8021087306199,0.0812081119300431,3.41297186698334
