"lambda.in","beta.in","coef.(Intercept)","aic","log.lik","Pval.","lambda.opt.lambda","lambda.ci.val1","lambda.ci.val2","lambda.z","phy.signal","kappa.z"
0.9,1,0.698488738746906,424.722114555619,-211.361057277809,0.163225094945381,0.882787449880137,0.823767586763873,0.925003469991516,32.6024465574438,0.0578979161705521,25.9182654668573
0.95,1,0.829145178384084,159.947345490299,-78.9736727451497,0.0718532472094768,0.919349812068425,0.874933455583033,0.948922854103541,26.8795346103848,0.0301828847527461,23.7437565287178
1,1,0.955945034519396,-966.374203368893,484.187101684446,0.0991785393671787,1,0.998710777251254,NA,45.2107028053712,0.716524708649041,29.9755853478901
0,1,1.09286189810362,1412.77359351073,-705.386796755366,0,0.0158046300700352,NA,0.114471555933622,0.268585892611083,0.00529673455839648,0.124460811242642
0.05,1,1.20724201827449,1469.22154281446,-733.610771407229,0,0.00181589154234184,NA,0.0428120789654473,0.0217450153787253,0.00556181245281591,1.06973576421138
0.1,1,1.13837456029759,1458.01242504798,-728.006212523992,1.07686970451937e-10,0.078565136743253,0.0056606572116244,0.288776364006268,2.20569634230761,0.00541153364248931,0.542671343513175
0.15,1,0.838659027427708,1365.08649704095,-681.543248520477,2.02166398333148e-06,0.095952252562622,0.000953280198737917,0.371583553163922,1.6705381869061,0.0054774162178423,0.836950348787455
0.2,1,1.07654525364036,1394.50935403443,-696.254677017213,7.55464160824282e-05,0.201293518901507,0.0788173555730331,0.422697694810063,9.16501446482271,0.00684601288722014,5.37177236317045
0.25,1,1.31305759107265,1309.80186057334,-653.90093028667,2.65241818730999e-06,0.240055633135282,0.12127508058246,0.428242605108171,13.6479222514751,0.00817738714633717,8.74044794160455
0.3,1,1.05176533100862,1330.56463852926,-664.28231926463,0.000362546730616309,0.254842083223252,0.0970859512631665,0.47804320495453,5.67970687262718,0.00631756219378733,3.59737248496833
0.35,1,1.68742889410601,1263.63841595015,-630.819207975075,3.50698644369096e-05,0.43639547366527,0.274519247030377,0.616611186721352,16.8362604392022,0.0102039727069627,12.344597157557
0.4,1,0.730638601806078,1301.68242948298,-649.84121474149,0.130549542114457,0.510413497699604,0.328556371382167,0.690128717286277,16.5388441888989,0.0104748161866817,12.2583681013406
