"lambda.in","beta.in","coef.(Intercept)","coef.x","aic","log.lik","Pval.(Intercept)","Pval.x","lambda.opt.lambda","lambda.ci.val1","lambda.ci.val2","lambda.z","phy.signal","kappa.z"
0.2,0.75,1.52337820999854,0.434619006862465,20.1155377342607,-8.05776886713033,0.0273591529105439,0.378067105398946,1e-06,NA,NA,1.81476322980384e-06,0.668960837557083,-0.65036247991982
0.2,1,0.918006290520324,1.1325114747349,24.5807747122772,-10.2903873561386,0.2326120312887,0.0515078580013908,1e-06,NA,NA,1.80593221277513e-06,0.511976898265526,-1.84254273297242
0.3,0,2.15120585070259,-0.388429649830585,20.124500948062,-8.06225047403098,0.00115021751446287,0.255355558532523,1e-06,NA,0.751633105949894,2.43067127515121e-06,0.123159401359338,-1.17068557979214
0.3,0.25,0.498919849342362,0.912733915127692,22.3816181394593,-9.19080906972964,0.379698532544683,0.172200047225045,1e-06,NA,NA,1.76212137926751e-06,0.654761141658187,1.41140295471431
0.3,0.5,0.69744126083922,0.892560024911278,25.8568159928938,-10.9284079964469,0.576505092183916,0.168230969085807,1e-06,NA,NA,2.23577014607323e-06,0.463353206210696,0.793246969312789
0.3,0.75,1.57580282134735,0.538999918774521,21.1159080398052,-8.55795401990258,0.0146626067293969,0.21639598424563,1e-06,NA,0.610107054530865,2.57751325493332e-06,0.0960392886577896,-1.52056679578425
0.3,1,1.67873454962303,0.578705961987342,21.0169662965321,-8.50848314826606,0.093653958000858,0.0531163143053672,1,NA,NA,1.66410342094798,0.548529621572352,0.862084980573144
0.4,0,0.45543741126105,0.718378568478351,26.5692156529406,-11.2846078264703,0.435868868494657,0.112801603938649,1e-06,NA,0.690668391674094,2.40052110738781e-06,0.122158791602911,0.077352542837903
0.4,0.25,1.76293707640545,-0.37696312398408,23.93397941657,-9.96698970828498,0.0806834621851886,0.414008640601911,1e-06,NA,NA,1.92403941053974e-06,0.265205047576548,1.07729990122658
0.4,0.5,1.46509779579306,-0.34737397888879,19.5694155454679,-7.78470777273397,0.117054026691233,0.0191402909242422,1,NA,NA,1.23100461188046,0.209677367792984,0.69462982251705
0.4,0.75,-0.354238421680257,1.88233378145888,21.1625964535656,-8.58129822678279,0.672781962851965,0.0105520599232474,0.924645721368973,NA,NA,1.71038991958196,0.102763933579641,-0.300593856048006
0.4,1,2.49255811030364,0.149920842573642,21.9111485099162,-8.95557425495812,0.0101406279965568,0.616166271284629,0.584434272272728,NA,NA,1.2748335440804,0.121394403727648,0.071473136008755
0.5,0,1.95672410347891,-0.0517291789173817,20.5441347261887,-8.27206736309436,0.0926015510209264,0.908967183816805,1,NA,NA,1.48286873141171,1.28259797756973,2.24292146770203
0.5,0.25,0.612887263497751,0.553296809752338,22.0437016429827,-9.02185082149135,0.216610186831029,0.0768951182617139,1e-06,NA,NA,8.45041685030331e-07,0.541805069333407,0.121239046717287
0.5,0.5,1.09690997211327,0.432420728250148,12.6428241238724,-4.32141206193622,0.0168918751779974,0.0347232940463584,1,0.599446544963054,NA,2.87730181503602,1.40420191016771,2.34329893675822
0.5,0.75,1.87822385659682,0.0286182605082494,22.4009681292485,-9.20048406462427,0.190087921559964,0.972775589994791,1e-06,NA,NA,8.57561503049025e-07,0.688878543455827,0.768705682982157
0.5,1,1.06813025707783,0.984808794143125,16.9290193735992,-6.46450968679959,0.0127549697565437,0.00192078836512666,0.0918872847548561,NA,NA,0.0425662276302196,0.994864195789788,1.85319076407513
0.6,0,0.698027201568066,0.290582782489916,19.8236222255826,-7.9118111127913,0.484530074676671,0.530556370168431,1,NA,NA,1.44450986949147,1.12738039549441,1.31813320483514
0.6,0.25,1.29997219866444,-0.919102663758064,24.8780215991493,-10.4390107995746,0.129416066892935,0.126240119475339,1,NA,NA,1.00290012192948,0.826754711462037,0.942540931186909
0.6,0.5,1.67612517947738,0.552586445076567,19.1156650099484,-7.55783250497418,0.000959378275151357,0.187965552766609,1e-06,NA,NA,1.48054866175344e-06,0.218439064045923,-1.72951582585316
0.6,0.75,1.58034475381034,0.893027682449411,22.5711571585701,-9.28557857928504,0.0580216422090696,0.104965537860949,1e-06,NA,0.692466230868058,2.21100294482606e-06,0.253317756512474,-1.37604949266797
0.6,1,1.42344642001975,0.708742891609307,21.501748750374,-8.75087437518702,0.00496094118324564,0.0992468009341412,1e-06,NA,0.925608423711028,1.26159253648023e-06,0.511584729055696,-0.117270549415801
0.7,0,0.978008783131649,0.0135672756541461,16.7157296372919,-6.35786481864593,0.12139538894128,0.967513317984887,0.894736072948093,NA,NA,0.226795885291479,0.77717536803549,1.39740103228252
0.7,0.25,0.884011226778661,-0.405379646841593,20.2892499482173,-8.14462497410866,0.282811422949783,0.445332939180739,1,0.20961552863115,NA,2.2057493449715,1.37940514793567,2.67826553501332
0.7,0.5,0.63841617843401,0.765926661161042,29.2638938178573,-12.6319469089286,0.379987894620843,0.469510236152994,0.45051864845878,NA,NA,0.709289474901537,0.608005416422021,1.18290886269249
0.7,0.75,0.0201210192159627,1.42380210844104,10.8535172714193,-3.42675863570963,0.944901197477809,0.000300989718317268,1e-06,NA,0.932260136548846,8.62724472649701e-07,0.570236827537387,0.927711982746786
0.7,1,1.78712857472258,0.55473602569418,25.1183959162164,-10.5591979581082,0.0171090982447653,0.349301408010313,0.343009161455578,NA,NA,0.244767307714862,0.652118954256616,1.63933941467399
0.8,0,1.00744452501694,-0.699068615029461,23.090004599578,-9.545002299789,0.131405405972713,0.146728236078814,1,NA,NA,0.98574018055553,1.72186857882403,3.40043626079715
0.8,0.25,0.804831716364018,0.610191727110012,26.0575180591068,-11.0287590295534,0.314046258385672,0.257007920664394,0.832844446632031,NA,NA,0.871596615949724,0.865717175145558,0.783004538516176
0.8,0.5,2.05911358220703,0.345314207723812,19.1328844002961,-7.56644220014806,0.0040968254420477,0.375305622054323,0.669975399484841,NA,NA,0.594469544638873,1.11770467957049,1.87090885565148
0.8,0.75,1.33364653224194,0.70898408429644,10.3213924111276,-3.16069620556381,0.000189636740160815,0.00522208256056977,1e-06,NA,0.931313604873987,1.84774398803711e-06,0.616577453915235,-0.521567987171439
0.8,1,2.47687903120018,0.0956649133407197,23.3648913152288,-9.68244565761441,0.0407610732466108,0.890886781564173,1e-06,NA,NA,1.94424467447997e-06,0.554225226667121,-0.874078789690412
0.9,0,1.58183083819576,-0.213492826922797,10.2384922061309,-3.11924610306544,0.00118995833167412,0.285960829372068,1,NA,NA,0.614149797628577,0.794510117217796,1.25421983105994
0.9,0.25,1.3461927935531,-0.368547440141183,15.2480168416068,-5.62400842080339,0.0107057415199288,0.124761060927488,0.413469841565586,NA,NA,0.646273273752468,0.751167486019277,1.209489972476
0.9,0.5,0.947756610472052,0.759782639712104,17.6109271301274,-6.80546356506371,0.00821417044828321,0.141568577645918,1e-06,NA,0.9936696395657,1.22733475458467e-06,0.60958959508165,0.71505193209507
0.9,0.75,1.29696021135678,0.239030090205308,21.1524294861214,-8.5762147430607,0.0990238398109846,0.452776126770049,0.683981336757642,NA,NA,0.450459425748198,0.883699971367474,1.17100558096648
0.9,1,-0.0542016864276766,1.34524975899809,23.170160516183,-9.58508025809148,0.934318871190636,0.0084168173368786,0.959894101876659,NA,NA,0.850462139050525,1.06320456385885,1.07822592428295
1,0,1.34592531463376,0.577445715065705,11.6571456663442,-3.8285728331721,0.0387534882550626,0.0805639964948672,1,0.833469362289464,NA,3.66275812932053,1.41780215641442,2.9790305381231
