"lambda.in","beta.in","coef.(Intercept)","coef.x","aic","log.lik","Pval.(Intercept)","Pval.x","lambda.opt.lambda","lambda.ci.val1","lambda.ci.val2","lambda.z","phy.signal","kappa.z"
0.4,0.25,1.11503421700307,0.195126019729615,644.91913148124,-320.45956574062,4.30458990674509e-08,0.055776134904105,0.408855050749081,0.206177472295725,0.625288265776164,4.7154063264007,0.108976772627097,2.71197032453101
0.4,0.5,0.812643731907762,0.667315288332022,675.189254962306,-335.594627481153,5.5547691193869e-05,2.71618394442896e-09,0.369002430204704,0.186340670876913,0.585374271599168,5.60439827219156,0.103804985506059,2.50258334237272
0.4,0.75,0.629384245970063,0.712778447120327,678.951699921327,-337.475849960663,0.00133782168614571,3.64778651729125e-10,0.34897611811297,0.174004865719162,0.558563181776688,5.50199488239447,0.131005835444557,3.58965905919583
0.4,1,1.12695113086312,0.906364592151067,682.554457660525,-339.277228830263,2.24123890557593e-07,6.66133814775094e-15,0.406351063174562,0.211281370577399,0.609872200972679,5.44432374213835,0.138213353345563,3.82229572885359
0.45,0,1.05841373122486,-0.00257196339813263,635.201830570099,-315.600915285049,3.71337238513902e-06,0.979447302342131,0.358837239269573,0.188242982923734,0.540787935976153,4.91244973819957,0.0498205333629149,0.803686826443208
0.45,0.25,0.930932187087143,0.120669910592522,684.057801369112,-340.028900684556,0.00108017400890947,0.266233302153297,0.452560887848993,0.286834651629185,0.627324195501217,10.9673821242045,0.205378127238328,3.61922320663911
0.45,0.5,0.869643433541237,0.447301581538258,670.651237956178,-333.325618978089,0.00112038199335363,3.36904058326759e-05,0.424674982417624,0.213066624763597,0.639922622024247,5.45161060340278,0.0800260313680768,1.8239818602936
0.45,0.75,0.91970659749736,0.762560453758218,660.537881744118,-328.268940872059,0.000680909242813055,2.43094433471924e-12,0.448507268875225,0.262244182431601,0.637242022725417,6.76740669673292,0.0903554934940183,1.99907784883606
0.45,1,1.38111464104611,1.05067933835999,691.392430544542,-343.696215272271,4.51495006315028e-06,0,0.475480644081945,0.293262367703118,0.643942694753911,5.39101043808932,0.0435213027922101,0.463705559805192
0.5,0,0.908437284422898,-0.00328480430993892,691.549098047664,-343.774549023832,0.000199211170904601,0.975905028597818,0.530830283524824,0.347628106209203,0.699605167797364,7.38865578925832,0.110933449283167,2.29189627053147
0.5,0.25,0.666224626485839,0.234328094656871,655.10645801535,-325.553229007675,0.00151457911193287,0.022668315773507,0.468261506204624,0.270438027735802,0.654617773208482,5.99403681257776,0.0366572242477611,-0.158401904331868
0.5,0.5,1.42082708141138,0.455761007024441,676.350737834304,-336.175368917152,3.11662724516992e-08,1.87065443881806e-05,0.583504734865853,0.371121283675653,0.746741567703098,6.45702329235113,0.0473872811628827,0.371774308649981
0.5,0.75,1.03753017010817,0.697747991706495,675.946553191016,-335.973276595508,5.369171329761e-08,5.63396440611541e-10,0.347266905330443,0.191217591043846,0.528301183011135,5.80160319637898,0.103524472784693,2.22819111316778
0.5,1,0.589922785768621,0.849979276002527,661.403642139437,-328.701821069719,0.0132020215597268,4.44089209850063e-15,0.565131776451736,0.382677888122547,0.721855106644729,7.90827491159072,0.0312854480587816,-0.461255938045619
0.55,0,1.25008059003121,0.035959300002042,616.024923543524,-306.012461771762,7.80709336645202e-06,0.704008771035285,0.478245762877336,0.257255257675495,0.669828723310442,4.29821194073477,0.0236306886989475,0.26249648470468
0.55,0.25,0.351592747652185,0.139698861634645,644.354333661034,-320.177166830517,0.218323832211843,0.164029358390388,0.467206039066129,0.269409805084524,0.652545662159476,5.52805015185983,0.0287196791555525,0.64032146577798
0.55,0.5,1.47752897647949,0.519040107601403,570.617943422766,-283.308971711383,9.17847248849135e-06,2.05414218967803e-09,0.665574735682479,0.439355324384705,0.83776220538168,11.2507174148852,0.154860908856409,3.51306744878257
0.55,0.75,1.18021450135207,0.684698917478583,658.635075702775,-327.317537851388,0.000178581801701716,1.37396760635511e-10,0.507525810325904,0.314824172243202,0.6759488124505,5.68677353069825,0.0162965803921179,-0.233836019028397
